site,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
US-Oho,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,28.5,-9999.0,26.5,-9999.0,-9999.0,-9999.0,-9999.0,26.5,27.0,27.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-PFa,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,24.0,24.5,27.5,25.4,26.5,25.4,-9999.0,24.3,-9999.0,-9999.0,23.8,22.6,23.6,23.8,24.4,22.5,26.5,22.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Rms,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,20.6,23.0,24.6,18.2,22.4,22.6,-9999.0
US-Ro1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,22.5,24.5,28.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,24.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Ro4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,26.6,25.5,25.5,26.7,26.6,23.5
US-Ro6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,25.4,23.5,23.4,29.4,22.6
US-Rwf,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.6,24.4,19.2,18.6,20.6,21.0,-9999.0
US-Rws,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,17.6,23.5,23.6,23.7,22.4,23.7,-9999.0
US-SRG,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.5,25.5,27.7,24.5,25.9,25.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-SRM,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,nan,26.6,25.6,29.5,26.7,27.9,28.7,29.5,nan,28.7,nan,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Syv,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,22.4,25.5,-9999.0,-9999.0,22.6,23.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,22.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Ton,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.4,17.4,24.4,22.6,26.2,25.0,24.4,22.6,22.4,17.2,28.6,23.4,25.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Tw1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,28.7,27.5,nan,26.5,26.6,28.6,25.3,24.4,28.5,-9999.0
US-UMB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,24.4,22.5,24.5,21.5,24.4,22.5,24.4,24.6,21.5,23.7,23.6,24.7,25.6,23.6,26.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-UMd,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,22.6,23.4,22.5,22.5,25.4,23.5,27.3,23.5,23.5,25.4,22.4,23.7,23.5,23.5
US-WCr,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.3,26.5,25.4,25.4,24.5,25.3,24.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,23.2,-9999.0,22.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Whs,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,26.6,nan,27.7,24.8,27.5,nan,22.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Wjs,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,24.6,21.4,21.4,28.6,25.7,25.4,21.5,24.4,26.5,27.4,26.5,22.5,26.5,24.6
US-Wkg,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,24.6,24.5,24.6,25.4,23.8,21.6,25.7,24.5,26.5,22.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-xBR,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,25.5,25.6,26.6,24.5,21.5
