site,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
US-Oho,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,29.4,-9999.0,32.4,-9999.0,-9999.0,-9999.0,-9999.0,30.5,32.5,31.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-PFa,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,28.5,28.0,29.3,30.4,30.6,30.4,-9999.0,29.2,-9999.0,-9999.0,32.6,31.4,29.6,29.5,32.4,31.5,29.6,32.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Rms,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,29.4,33.0,31.7,30.4,30.6,32.6,-9999.0
US-Ro1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,32.4,29.4,28.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,33.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Ro4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.4,35.5,31.4,31.4,32.3,31.5
US-Ro6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.6,29.4,31.4,29.5,32.5
US-Rwf,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.5,29.5,29.2,28.6,30.6,31.0,-9999.0
US-Rws,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,33.9,33.5,31.4,32.5,32.4,32.6,-9999.0
US-SRG,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.4,33.6,29.6,33.5,30.5,29.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-SRM,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.3,30.6,29.5,29.5,32.5,32.6,31.4,29.5,32.6,30.6,31.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Syv,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,32.5,28.4,-9999.0,-9999.0,31.4,31.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Ton,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.5,27.4,33.6,32.6,31.6,33.6,32.4,31.6,32.4,27.4,28.6,28.6,32.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Tw1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,37.5,31.6,33.6,32.5,33.7,33.4,33.6,33.7,33.5,-9999.0
US-UMB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,27.6,30.5,28.5,31.5,30.3,32.5,31.5,30.5,31.5,30.6,29.5,28.5,30.5,32.3,29.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-UMd,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.2,30.4,31.4,28.6,31.4,31.4,29.6,29.4,30.3,30.5,32.4,27.4,30.6,29.6
US-WCr,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.3,32.0,31.5,30.7,29.5,30.6,30.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,32.5,-9999.0,28.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Whs,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,34.5,31.6,30.4,31.6,31.5,31.5,32.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Wjs,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,29.3,31.4,33.5,30.5,34.7,34.5,31.5,33.3,32.6,33.6,30.4,31.6,32.3,34.6
US-Wkg,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,32.4,30.3,31.4,31.4,32.4,30.3,31.5,32.8,30.5,30.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-xBR,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,33.5,33.3,30.3,28.5,31.5
